dataset,model,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,best_cv_score,best_params,seed,experiment
transfer,logistic_regression,0.7319444444444445,0.1527840907786597,0.7483333333333333,0.1399305383236824,0.635,0.21114107974422114,0.8,0.16329931618554522,0.6899206349206348,0.1559809739933733,0.7577777777777779,0.1462114146630754,0.7857142857142857,0.7444444444444445,0.75,0.6,0.6666666666666666,0.7777777777777778,0.6899206349206348,{'model__C': 10},123,real_plus_synthetic
transfer,random_forest,0.7097222222222223,0.11291077270390365,0.67,0.1077032961426901,0.675,0.24281337140555775,0.5333333333333333,0.1632993161855452,0.562857142857143,0.14140211392737115,0.7366666666666667,0.1600192889607568,0.7857142857142857,0.7,1.0,0.4,0.5714285714285714,0.8666666666666667,0.562857142857143,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 500}",123,real_plus_synthetic
transfer,svm,0.7430555555555556,0.15000642990334007,0.7416666666666666,0.15279797846248566,0.6900000000000001,0.233238075793812,0.7333333333333333,0.24944382578492943,0.6607142857142858,0.17874991080345995,0.7555555555555556,0.19907192074632132,0.7142857142857143,0.6,1.0,0.2,0.3333333333333333,0.8444444444444444,0.6607142857142858,"{'model__C': 1, 'model__gamma': 0.1}",123,real_plus_synthetic
transfer,xgboost,0.6972222222222222,0.14337208778404378,0.6599999999999999,0.12957194483717874,0.67,0.2518597493315145,0.5333333333333333,0.1632993161855452,0.5592857142857144,0.1486235027787708,0.7277777777777776,0.17464249196572978,0.7857142857142857,0.7,1.0,0.4,0.5714285714285714,0.9111111111111111,0.5592857142857144,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",123,real_plus_synthetic
transfer,voting_tuned,0.7430555555555556,0.1516689560266775,0.7183333333333333,0.15695894721585996,0.7016666666666667,0.26335970332101555,0.6333333333333334,0.23333333333333334,0.6345238095238095,0.20135383618629865,0.7577777777777779,0.16320856912869816,0.7857142857142857,0.7,1.0,0.4,0.5714285714285714,0.8222222222222222,0.6345238095238095,,123,real_plus_synthetic
mid,dummy,0.6055555555555555,0.0435677420593281,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,999,real_plus_synthetic
mid,logistic_regression,0.5069444444444444,0.13047426547261068,0.5325,0.11555722488110477,0.4319047619047619,0.13502834169619538,0.6416666666666666,0.12388390622765422,0.508015873015873,0.1186854013339295,0.5077777777777778,0.16119155080022873,0.7857142857142857,0.7444444444444445,0.75,0.6,0.6666666666666666,0.8222222222222223,0.508015873015873,{'model__C': 0.01},999,real_plus_synthetic
mid,random_forest,0.6263888888888889,0.09571248418900027,0.62,0.08301606270274847,0.5433333333333333,0.10115993936995678,0.5666666666666667,0.15723301886761007,0.5368253968253969,0.10410036438676519,0.5688888888888889,0.07532645002968132,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.6444444444444445,0.5368253968253969,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 300}",999,real_plus_synthetic
mid,svm,0.6,0.1402433951262704,0.6033333333333333,0.1363308883236338,0.4966666666666666,0.14866068747318506,0.6333333333333333,0.19075871903765995,0.5504761904761903,0.1597046278389803,0.5605555555555555,0.17224820592518356,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.7777777777777778,0.5504761904761903,"{'model__C': 1, 'model__gamma': 0.1}",999,real_plus_synthetic
mid,xgboost,0.6180555555555556,0.09342794477134521,0.5966666666666667,0.09053851237027381,0.5566666666666668,0.17641491496532322,0.4833333333333334,0.1699673171197595,0.4882539682539682,0.11216551855419793,0.5577777777777777,0.11458998297203321,0.5,0.4777777777777778,0.3333333333333333,0.4,0.36363636363636365,0.6,0.4882539682539682,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",999,real_plus_synthetic
mid,voting_tuned,0.5930555555555556,0.053087541260045515,0.5183333333333333,0.05983774357005413,0.15,0.22912878474779202,0.13333333333333333,0.22110831935702666,0.13714285714285715,0.2141142170879451,0.5599999999999999,0.12728891992550834,0.5714285714285714,0.4444444444444444,0.0,0.0,0.0,0.7777777777777778,0.13714285714285715,,999,real_plus_synthetic
transfer,dummy,0.65,0.02041241452319313,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,999,real_plus_synthetic
transfer,logistic_regression,0.7319444444444445,0.09234805672155162,0.73,0.08781293248212992,0.6366666666666666,0.19,0.7333333333333333,0.2,0.6547619047619048,0.1209748760483789,0.7966666666666666,0.13690133421059844,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.7111111111111111,0.6547619047619048,{'model__C': 10},999,real_plus_synthetic
transfer,random_forest,0.7208333333333334,0.14479791153599275,0.6849999999999999,0.15993922456844523,0.6333333333333333,0.33166247903553997,0.5666666666666667,0.2603416558635552,0.5719047619047618,0.26009286672211507,0.7699999999999999,0.15348221435546464,0.7857142857142857,0.7,1.0,0.4,0.5714285714285714,0.8666666666666667,0.5719047619047618,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 300}",999,real_plus_synthetic
transfer,svm,0.7833333333333333,0.10285282545318677,0.7716666666666666,0.11667857082124758,0.685,0.17708284313657643,0.7333333333333333,0.2,0.6950000000000001,0.15916608790007677,0.7822222222222222,0.16712529490633926,0.5714285714285714,0.48888888888888893,0.3333333333333333,0.2,0.25,0.6444444444444445,0.6950000000000001,"{'model__C': 1, 'model__gamma': 0.1}",999,real_plus_synthetic
transfer,xgboost,0.7208333333333334,0.1266023837857997,0.695,0.1329264625439361,0.65,0.219848432637882,0.6,0.2,0.5985714285714285,0.1642691503036909,0.7644444444444444,0.15805921690740696,0.7857142857142857,0.7,1.0,0.4,0.5714285714285714,0.9111111111111111,0.5985714285714285,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",999,real_plus_synthetic
transfer,voting_tuned,0.7944444444444445,0.10754700379225524,0.78,0.12355835328567094,0.7,0.1755942292142123,0.7333333333333333,0.2,0.7057142857142857,0.16596860616180553,0.8088888888888889,0.16199375083206755,0.7142857142857143,0.6444444444444444,0.6666666666666666,0.4,0.5,0.6888888888888889,0.7057142857142857,,999,real_plus_synthetic
